movie_id,average_rating,vote_count,rating_distribution
1087192,8.091,1196,"{""7"": 1}"
1071585,7.7,456,"{""6"": 2}"
552524,7.3,1030,"{""7"": 1, ""6"": 2, ""9"": 1, ""8"": 1}"
1311031,6.447,19,{}
1315986,6.823,31,{}
1061474,7.4,1123,"{""8"": 2, ""7"": 2, ""6"": 2, ""9"": 1}"
1011477,7.241,528,"{""6"": 2}"
1119878,7.025,139,"{""5"": 1}"
1124619,5.815,27,{}
617126,7.269,232,"{""7"": 1}"
541671,7.493,1134,"{""7"": 1, ""6"": 2, ""8"": 1, ""10"": 1}"
1234821,6.4,783,"{""5"": 4, ""7"": 1, ""6"": 1}"
1374534,5.871,93,{}
803796,8.531,776,"{""7"": 1}"
986056,7.4,1972,"{""7"": 3, ""8"": 2, ""9"": 3, ""6"": 3, ""10"": 2}"
574475,7.2,1730,"{""7"": 2, ""9"": 2, ""8"": 1, ""6"": 1, ""10"": 1}"
1058537,5.452,21,{}
846422,6.062,538,"{""5"": 1}"
749170,6.952,540,"{""7"": 3, ""5"": 1}"
968171,6.056,9,{}
